Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
OSOLA;ABSOLUT EXTRAKT;4400;5500;25;5100;15,91;7312040551798;65505;20/12/2022
SAN JUAN;ABSOLUT GRAPEFRUIT;4400;5500;25;30600;15,91;7312040552160;975;20/12/2022
OSOLA;ABSOLUT LIME;4400;5500;25;5100;15,91;7312040551675;307;20/12/2022
Promos;ABSOLUT SAB + REAKTOR 1.5 L.;4770,37;5800;0;0;0;3400;0;12/01/2023
ALMACEN;ACEITE GIRASOL CA•UELAS 1.5 L;110,65;140;26,53;743,57;12;7792180001665;99;07/04/2020
BARRICA BEBIDAS;ACEITE MYTHOS;700;850;21,43;770;10;3464;99;10/02/2022
ACONCAGUA;ACONCAGUA AZUL BOTELLA 355 ML;433,33;600;38,46;1000;15,39;736373864498;693;17/12/2022
ACONCAGUA;ACONCAGUA LATA ALUMINIO;1200;1600;33,33;2800;16,67;749350080316;944;17/12/2022
ACONCAGUA;ACONCAGUA MINI 50 ML;450;550;22,22;3150;16,67;783970981042;994;20/01/2023
ALMACEN;ACONDICIONADOR PANTENE LISO Y SEDOSO 200 ML;125,31;170;35,66;842,08;12;7500435012508;100;01/04/2020
ANALGESICOS;ACTRON 400 mg;25;40;60;168;12;3041;9834;02/08/2022
ANALGESICOS;ACTRON 600 MG;65;80;23,08;0;0;13;574;23/09/2022
ANALGESICOS;ACTRON MUJER;11,5;20;73,91;77,28;12;3369;1087;05/04/2021
COCA COLA;ADES 1 L MANZANA;240;300;25;2155;12,22;2297;586;26/01/2023
ARCOR;ADES DURAZNO X 1 L;123,2;154;25;1144;16,07;7794000792500;175;21/07/2022
PEJINAKIS;ADES MANZANA SOY FORCE X 1 LT;54;65;20,37;496,8;15;7794000792517;65267;29/07/2019
PEJINAKIS;ADES NARANJA X 1 LITRO;75;90;19,37;690;15;7794000792494;719;01/05/2020
PEJINAKIS;ADES SOY FORCE FRUTAS TROPICALES X 1L;54;65;20,37;496,8;15;7794000791886;50;29/07/2019
COCA COLA;AGUA  KIN SIN GAS 2 L;67;80;19,4;450;11,94;7790895000119;668;07/07/2021
PEJINAKIS;AGUA .LEVITE FRUTA TROPICAL X 2.25 L;107,13;130;21,35;739;15;7798062540734;159;26/09/2019
PEPSI;AGUA AWAFRUT NARANJA DURAZNO 2.25 L;88,5;110;24,29;600;12,99;7795930000482;985;31/07/2021
PEPSI;AGUA AWAFRUT NARANJA-DURAZNO 500 ML;34;40;17,65;230;12,75;7795930000420;94;28/07/2020
COCA COLA;AGUA AYBAL 2 L;40,22;50;24,32;270;11,99;7790895647352;64;18/03/2021
COCA COLA;AGUA BENEDICTINO 2 L.;192,83;230;19,45;1300;12,36;7790895647703;890;22/12/2022
COCA COLA;AGUA BENEDICTINO SIN GAS 600 ML;125,66;150;19,33;840;11,41;7790895647741;9668;26/01/2023
SECCO;AGUA BIO 1.5 L.;35;50;42,86;240;14,29;7792758251508;95;22/05/2021
BARRICA BEBIDAS;AGUA BIO BALANCE - SECCO;14,16;20;41;0;0;7792758001318;1;24/07/2018
OSOLA;AGUA BLOCK X 500 cc;24,16;50;106,95;420;44,87;7798119220213;9152;12/11/2021
PEJINAKIS;AGUA BRIO MANZANA 1.5 ML;26,88;40;48,81;190;17,81;7798062543919;4;03/09/2020
PEJINAKIS;AGUA BRIO POMELO 1.5 ML;60,16;80;32,98;400;10,82;7798062543933;77;30/04/2022
MARINARO;AGUA CELLIER MANZANA 1.5 L;30,16;40;32,63;202,68;12;7790639002485;5;31/05/2019
COCA COLA;AGUA CON GAS KIN 500 CC;15;20;33;0;0;7790895000874;919;03/09/2018
CITRIC;AGUA CON GAS SIERRA DE LOS PADRES;29;50;72,41;420;20,69;7798065730040;999;10/01/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIA PREMIER500 CC;112,34;140;24,62;1490;10,53;7798062547801;597;21/05/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 1.5 L;198;250;26,26;1380;16,16;7798062547788;846;10/12/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 500 ML;120,41;150;24,57;1650;14,19;3078;127;05/11/2022
BARRICA BEBIDAS;AGUA IVESS BIDON 6 L.;45,99;55;19;0;0;7795176001151;998;23/05/2018
COCA COLA;AGUA KIN 1 LITRO;21,64;25;15;0;0;7790895004230;997;11/06/2018
COCA COLA;AGUA KIN 6,25 L;216;260;20,37;0;13,77;7790895010118;738;29/07/2022
COCA COLA;AGUA KIN CON GAS 600 ML;60,28;70;15,38;800;10,6;7790895644160;914;07/07/2021
COCA COLA;AGUA KIN SIN GAS 375 ML;10,05;20;99;140;16,09;7790895643699;974;08/01/2020
COCA COLA;AGUA KIN SIN GAS 600 ML;60,28;70;16,12;800;10,6;7790895643705;9993;07/07/2021
COCA COLA;AGUA KIN X 5 L;5;25;400;0;0;7790895640827;87;03/06/2017
PEJINAKIS;AGUA LEVITE ANANA 1,5 L.;255;320;25,49;1750;14,38;7790315101297;985;10/12/2022
PEJINAKIS;AGUA LEVITE ANANA X 2.25 L;175,86;210;19,41;1170;10,88;7798062541700;65519;08/01/2022
PEJINAKIS;AGUA LEVITE CERO MANZANA 2.25 cc;175,86;210;19,41;1170;10,88;7790315001085;735;08/01/2022
PEJINAKIS;AGUA LEVITE F. TROP ZERO X 2.25 L;107,13;130;21,35;739;15;7798062542332;993;26/09/2019
PEJINAKIS;AGUA LEVITE FIZZ POMELO 575 ML;129,8;170;30,97;900;15,56;7790315101181;848;19/11/2022
PEJINAKIS;AGUA LEVITE NARANJA DULCE X 2.25 L;175,86;210;19,41;1170;10,88;7798062541878;607;08/01/2022
PEJINAKIS;AGUA LEVITE NARANJA X 1.5 ML;255;320;25,49;1750;14,38;7798062548648;908;10/12/2022
PEJINAKIS;AGUA LEVITE PERA 1.5 L.;255;320;25,49;1750;14,38;7798062540253;933;10/12/2022
PEJINAKIS;AGUA LEVITE PERA X 2.25 LITROS;175,86;210;19,41;1170;10,88;7798062541014;65450;08/01/2022
MARINARO;AGUA MARINARO 2.25 cc;25;30;20;175,02;16,67;7795176000307;5;16/07/2020
PEPSI;AGUA MIMERAL ECO DE LOS ANDES X 500 CC;68;90;32,35;0;0;7792799000011;80;09/12/2021
PEPSI;AGUA MINERAL  ECO DE LOS ANDES X 2 L;41;50;21,95;280;13,82;7792799000097;70;24/07/2020
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1 L;224;290;29,46;1568;16,67;7792799000639;157;11/01/2023
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1.5 L;100;130;30;0;0;7792799000059;84;09/12/2021
PEPSI;AGUA MINERAL NESTLE 1,5 LITROS;145,73;180;23,52;990;13,22;7792799000905;886;06/12/2022
PEPSI;AGUA MINERAL NESTLE X 500 ML;138,5;170;22,74;0;0;7792799000899;64;06/12/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 2 LT;226;280;23,89;1560;15,04;7790315000422;63873;10/12/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 500 CM3;120,41;150;24,57;1650;14,19;7790315000446;3247;05/11/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO SPORT 750 CM3;121,52;150;23,33;1620;11,09;7790315058201;696;13/05/2022
PEPSI;AGUA NESTLE 2.25 L;187,12;230;22,92;1290;14,9;7795930000543;805;28/01/2023
PEJINAKIS;AGUA SAB LEVITE FRUTILLA+LIMON 2.5 cl;81,4;100;23,26;562;15;7798062542929;995;16/07/2020
PEJINAKIS;AGUA SAB LEVITE POMELO 1 L;39;50;28,21;0;0;7798062544848;85;06/08/2019
PEJINAKIS;AGUA SAB LEVITE POMELO 1.5 l;255;320;25,49;1750;14,38;7798062548679;839;10/12/2022
COCA COLA;AGUA SAB. AQUARIUS NARANJA 500 CM3;167;200;20;1140;13,77;7790895641213;994;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS PERA 1.5 CM3;250,25;300;19,87;1740;15,88;7790895640476;65211;22/12/2022
COCA COLA;AGUA SAB. AQUARIUS PERA 500 CM3;168;200;19,32;1140;13,1;7790895640445;860;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO 1.5 CM3;250,25;300;19,87;1740;15,88;7790895640490;65042;22/12/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO 500 CM3;168;200;19,27;1140;13,1;7790895004032;922;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO X  2.25 L;294;350;19,05;2040;15,65;7790895003288;65311;22/12/2022
PEJINAKIS;AGUA SAB. LEVITE ANANA 1.5 L;255;320;25,49;1750;14,38;7798062549225;65387;10/12/2022
PEJINAKIS;AGUA SAB. LEVITE CERO PERA 1.5 L;255;320;25,49;1750;14,38;7798062549539;65517;10/12/2022
PEJINAKIS;AGUA SAB. LEVITE LIMONADA CLASICA 1.5 L;56;70;25;386,4;15;7798062549843;478;06/08/2019
PEJINAKIS;AGUA SAB. LEVITE MANDARINA 1.5L;112,24;140;24,73;750;11,37;7798062541250;65462;04/09/2021
PEJINAKIS;AGUA SAB. LEVITE MANDARINA X 2.25 L;42,28;55;30;0;0;7798062541762;65394;16/07/2020
PEJINAKIS;AGUA SAB. LEVITE NARANJA MANGO X 2.25L;125,49;150;19,53;860;14,22;7798062542370;680;10/08/2020
PEJINAKIS;AGUA SAB. LEVITE NARANJA X 2.25 L;175,86;210;19,41;1170;10,88;7798062540291;979;08/01/2022
PEJINAKIS;AGUA SABLEVITE MZNA CERO 600 CC;19,3;30;55,44;0;0;7790315001153;72;17/03/2020
PEJINAKIS;AGUA SABOR. LEVITE LIMON X 2.25 L;175,86;210;19,41;1170;10,88;7798062541731;65516;08/01/2022
PEJINAKIS;AGUA SABORIZADA ANANA 2.25 L.;148,42;180;21,28;990;11,17;7790315101327;973;04/09/2021
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 1,5 L.;210,44;260;23,55;1470;16,42;7790315101396;995;10/09/2022
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 500 ML;123,71;150;21,25;1700,07;14,52;7790315101389;994;10/09/2022
PEJINAKIS;AGUA SABORIZADA LEVITE POMELO X 2.25 L;175,86;210;19,41;1170;10,88;7798062540284;65445;08/01/2022
PRITTY;AGUA SALDAN;47,5;70;47,37;240;26,32;7791913005369;99;18/03/2021
PEJINAKIS;AGUA SER CITRUS    1.5 L;40;60;50;268,8;12;7798062542073;997;29/08/2020
PEJINAKIS;AGUA SER SIN GAS MANZANA 1.5 L;36;45;25;0;0;7798062544411;-1;12/12/2018
PEJINAKIS;AGUA SER SIN GAS NARANJA;13,84;18;30;0;0;7798062544404;2;
PEJINAKIS;AGUA SER SIN GAS POMELO;13,84;18;30;0;0;7798062544428;4;
CITRIC;AGUA SIERRA DE LOS PADRES MANZANA  1,5 L.;100;120;20;660;10;7798065730361;96;16/05/2022
COCA COLA;AGUA SIN GAS KIN 500 CC;60,33;70;15,44;800;10,5;7790895000201;905;04/05/2021
PEJINAKIS;AGUA SIN GAS VILLAVICENCIO PREMIUM 500 ML;38,14;50;31,1;263,17;15;3355;985;30/01/2021
