Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
COCA COLA;AGUA BENEDICTINO SIN GAS 600 ML;125,66;150;19,33;840;11,41;7,7909E+12;9655;26/01/2023
SECCO;AGUA BIO 1.5 L.;35;50;42,86;240;14,29;7,79276E+12;95;22/05/2021
BARRICA BEBIDAS;AGUA BIO BALANCE - SECCO;14,16;20;41;0;0;7,79276E+12;1;24/07/2018
OSOLA;AGUA BLOCK X 500 cc;24,16;50;106,95;420;44,87;7,79812E+12;9152;12/11/2021
PEJINAKIS;AGUA BRIO MANZANA 1.5 ML;26,88;40;48,81;190;17,81;7,79806E+12;4;03/09/2020
PEJINAKIS;AGUA BRIO POMELO 1.5 ML;60,16;80;32,98;400;10,82;7,79806E+12;77;30/04/2022
MARINARO;AGUA CELLIER MANZANA 1.5 L;30,16;40;32,63;202,68;12;7,79064E+12;5;31/05/2019
COCA COLA;AGUA CON GAS KIN 500 CC;15;20;33;0;0;7,7909E+12;919;03/09/2018
CITRIC;AGUA CON GAS SIERRA DE LOS PADRES;29;50;72,41;420;20,69;7,79807E+12;999;10/01/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIA PREMIER500 CC;112,34;140;24,62;1490;10,53;7,79806E+12;596;21/05/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 1.5 L;198;250;26,26;1380;16,16;7,79806E+12;834;10/12/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 500 ML;120,41;150;24,57;1650;14,19;3078;126;05/11/2022
BARRICA BEBIDAS;AGUA IVESS BIDON 6 L.;45,99;55;19;0;0;7,79518E+12;998;23/05/2018
COCA COLA;AGUA KIN 1 LITRO;21,64;25;15;0;0;7,7909E+12;997;11/06/2018
COCA COLA;AGUA KIN 6,25 L;216;260;20,37;0;13,77;7,7909E+12;738;29/07/2022
COCA COLA;AGUA KIN CON GAS 600 ML;60,28;70;15,38;800;10,6;7,7909E+12;914;07/07/2021
COCA COLA;AGUA KIN SIN GAS 375 ML;10,05;20;99;140;16,09;7,7909E+12;974;08/01/2020
COCA COLA;AGUA KIN SIN GAS 600 ML;60,28;70;16,12;800;10,6;7,7909E+12;9993;07/07/2021
COCA COLA;AGUA KIN X 5 L;5;25;400;0;0;7,7909E+12;87;03/06/2017
PEJINAKIS;AGUA LEVITE ANANA 1,5 L.;255;320;25,49;1750;14,38;7,79032E+12;985;10/12/2022
PEJINAKIS;AGUA LEVITE ANANA X 2.25 L;175,86;210;19,41;1170;10,88;7,79806E+12;65519;08/01/2022
PEJINAKIS;AGUA LEVITE CERO MANZANA 2.25 cc;175,86;210;19,41;1170;10,88;7,79032E+12;735;08/01/2022
PEJINAKIS;AGUA LEVITE F. TROP ZERO X 2.25 L;107,13;130;21,35;739;15;7,79806E+12;993;26/09/2019
PEJINAKIS;AGUA LEVITE FIZZ POMELO 575 ML;129,8;170;30,97;900;15,56;7,79032E+12;847;19/11/2022
PEJINAKIS;AGUA LEVITE NARANJA DULCE X 2.25 L;175,86;210;19,41;1170;10,88;7,79806E+12;607;08/01/2022
PEJINAKIS;AGUA LEVITE NARANJA X 1.5 ML;255;320;25,49;1750;14,38;7,79806E+12;905;10/12/2022
PEJINAKIS;AGUA LEVITE PERA 1.5 L.;255;320;25,49;1750;14,38;7,79806E+12;929;10/12/2022
PEJINAKIS;AGUA LEVITE PERA X 2.25 LITROS;175,86;210;19,41;1170;10,88;7,79806E+12;65450;08/01/2022
MARINARO;AGUA MARINARO 2.25 cc;25;30;20;175,02;16,67;7,79518E+12;5;16/07/2020
