Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
SECCO;AGUA BIO 1.5 L.;35;50;42,86;240;14,29;7792758251508;95;22/05/2021
BARRICA BEBIDAS;AGUA BIO BALANCE - SECCO;14,16;20;41;0;0;7792758001318;1;24/07/2018
OSOLA;AGUA BLOCK X 500 cc;24,16;50;106,95;420;44,87;7798119220213;9152;12/11/2021
PEJINAKIS;AGUA BRIO MANZANA 1.5 ML;26,88;40;48,81;190;17,81;7798062543919;4;03/09/2020
PEJINAKIS;AGUA BRIO POMELO 1.5 ML;60,16;80;32,98;400;10,82;7798062543933;77;30/04/2022
MARINARO;AGUA CELLIER MANZANA 1.5 L;30,16;40;32,63;202,68;12;7790639002485;5;31/05/2019
COCA COLA;AGUA CON GAS KIN 500 CC;15;20;33;0;0;7790895000874;919;03/09/2018
CITRIC;AGUA CON GAS SIERRA DE LOS PADRES;29;50;72,41;420;20,69;7798065730040;999;10/01/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIA PREMIER500 CC;112,34;140;24,62;1490;10,53;7798062547801;582;21/05/2022
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 1.5 L;219;280;27,85;1500;14,16;7798062547788;824;24/03/2023
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 500 ML;143;180;25,87;2000;16,55;3078;114;17/03/2023
BARRICA BEBIDAS;AGUA IVESS BIDON 6 L.;45,99;55;19;0;0;7795176001151;998;23/05/2018
COCA COLA;AGUA KIN 1 LITRO;21,64;25;15;0;0;7790895004230;997;11/06/2018
COCA COLA;AGUA KIN 6,25 L;216;260;20,37;0;13,77;7790895010118;738;29/07/2022
COCA COLA;AGUA KIN CON GAS 600 ML;60,28;70;15,38;800;10,6;7790895644160;914;07/07/2021
COCA COLA;AGUA KIN SIN GAS 375 ML;10,05;20;99;140;16,09;7790895643699;974;08/01/2020
COCA COLA;AGUA KIN SIN GAS 600 ML;60,28;70;16,12;800;10,6;7790895643705;9993;07/07/2021
COCA COLA;AGUA KIN X 5 L;5;25;400;0;0;7790895640827;87;03/06/2017
PEJINAKIS;AGUA LEVITE ANANA 1,5 L.;309;400;29,45;2100;13,27;7790315101297;985;17/03/2023
PEJINAKIS;AGUA LEVITE ANANA X 2.25 L;175,86;210;19,41;1170;10,88;7798062541700;65519;08/01/2022
PEJINAKIS;AGUA LEVITE CERO MANZANA 2.25 cc;175,86;210;19,41;1170;10,88;7790315001085;735;08/01/2022
PEJINAKIS;AGUA LEVITE F. TROP ZERO X 2.25 L;107,13;130;21,35;739;15;7798062542332;993;26/09/2019
PEJINAKIS;AGUA LEVITE FIZZ POMELO 575 ML;129,8;170;30,97;900;15,56;7790315101181;847;19/11/2022
PEJINAKIS;AGUA LEVITE NARANJA DULCE X 2.25 L;175,86;210;19,41;1170;10,88;7798062541878;607;08/01/2022
PEJINAKIS;AGUA LEVITE NARANJA X 1.5 ML;309;400;29,45;2100;13,27;7798062548648;902;17/03/2023
PEJINAKIS;AGUA LEVITE PERA 1.5 L.;309;400;29,45;2100;13,27;7798062540253;924;17/03/2023
PEJINAKIS;AGUA LEVITE PERA X 2.25 LITROS;175,86;210;19,41;1170;10,88;7798062541014;65450;08/01/2022
MARINARO;AGUA MARINARO 2.25 cc;25;30;20;175,02;16,67;7795176000307;5;16/07/2020
PEPSI;AGUA MIMERAL ECO DE LOS ANDES X 500 CC;155;200;29,03;0;0;7792799000011;80;21/03/2023
PEPSI;AGUA MINERAL  ECO DE LOS ANDES X 2 L;41;50;21,95;280;13,82;7792799000097;70;24/07/2020
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1 L;242,73;300;23,59;1680;15,35;7792799000639;135;08/02/2023
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1.5 L;100;130;30;0;0;7792799000059;84;09/12/2021
PEPSI;AGUA MINERAL NESTLE 1,5 LITROS;178,19;220;23,46;1230;15;7792799000905;866;04/03/2023
PEPSI;AGUA MINERAL NESTLE X 500 ML;138,5;170;22,74;0;0;7792799000899;64;06/12/2022
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 2 LT;241;300;24,48;1650;14,11;7790315000422;63856;17/03/2023
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 500 CM3;143;180;25,87;2000;16,55;7790315000446;3208;17/03/2023
PEJINAKIS;AGUA MINERAL VILLAVICENCIO SPORT 750 CM3;121,52;150;23,33;1620;11,09;7790315058201;686;13/05/2022
PEPSI;AGUA NESTLE 2.25 L;203,94;250;22,59;1400;14,41;7795930000543;774;04/03/2023
PEJINAKIS;AGUA SAB LEVITE FRUTILLA+LIMON 2.5 cl;81,4;100;23,26;562;15;7798062542929;995;16/07/2020
PEJINAKIS;AGUA SAB LEVITE POMELO 1 L;39;50;28,21;0;0;7798062544848;85;06/08/2019
PEJINAKIS;AGUA SAB LEVITE POMELO 1.5 l;309;400;29,45;2100;13,27;7798062548679;831;17/03/2023
COCA COLA;AGUA SAB. AQUARIUS NARANJA 500 CM3;167;200;20;1140;13,77;7790895641213;993;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS PERA 1.5 CM3;293,33;360;22,73;2030;15,34;7790895640476;65185;25/02/2023
COCA COLA;AGUA SAB. AQUARIUS PERA 500 CM3;168;200;19,32;1140;13,1;7790895640445;832;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO 1.5 CM3;293,33;360;22,73;2030;15,34;7790895640490;65041;25/02/2023
COCA COLA;AGUA SAB. AQUARIUS POMELO 500 CM3;168;200;19,27;1140;13,1;7790895004032;908;01/11/2022
COCA COLA;AGUA SAB. AQUARIUS POMELO X  2.25 L;333,42;400;19,97;2300;14,97;7790895003288;65306;25/02/2023
PEJINAKIS;AGUA SAB. LEVITE ANANA 1.5 L;309;400;29,45;2100;13,27;7798062549225;65387;17/03/2023
PEJINAKIS;AGUA SAB. LEVITE CERO PERA 1.5 L;255;320;25,49;1750;14,38;7798062549539;65516;10/12/2022
PEJINAKIS;AGUA SAB. LEVITE LIMONADA CLASICA 1.5 L;56;70;25;386,4;15;7798062549843;478;06/08/2019
PEJINAKIS;AGUA SAB. LEVITE MANDARINA 1.5L;112,24;140;24,73;750;11,37;7798062541250;65462;04/09/2021
PEJINAKIS;AGUA SAB. LEVITE MANDARINA X 2.25 L;42,28;55;30;0;0;7798062541762;65394;16/07/2020
PEJINAKIS;AGUA SAB. LEVITE NARANJA MANGO X 2.25L;125,49;150;19,53;860;14,22;7798062542370;680;10/08/2020
PEJINAKIS;AGUA SAB. LEVITE NARANJA X 2.25 L;175,86;210;19,41;1170;10,88;7798062540291;979;08/01/2022
PEJINAKIS;AGUA SABLEVITE MZNA CERO 600 CC;19,3;30;55,44;0;0;7790315001153;72;17/03/2020
PEJINAKIS;AGUA SABOR. LEVITE LIMON X 2.25 L;175,86;210;19,41;1170;10,88;7798062541731;65516;08/01/2022
PEJINAKIS;AGUA SABORIZADA ANANA 2.25 L.;148,42;180;21,28;990;11,17;7790315101327;973;04/09/2021
BADIE;AGUA SABORIZADA LEVITE 1 LT NARANJA;200;350;75;1440;20;7798062544701;102;31/03/2023
BARRICA BEBIDAS;AGUA SABORIZADA LEVITE 1 LT POMELO;200;350;75;1440;20;7798062544718;101;31/03/2023
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 1,5 L.;309;400;29,45;2100;13,27;7790315101396;988;17/03/2023
PEJINAKIS;AGUA SABORIZADA LEVITE MANGO 500 ML;183;250;36,61;2500;13,84;7790315101389;992;17/03/2023
PEJINAKIS;AGUA SABORIZADA LEVITE POMELO X 2.25 L;175,86;210;19,41;1170;10,88;7798062540284;65445;08/01/2022
PRITTY;AGUA SALDAN;47,5;70;47,37;240;26,32;7791913005369;99;18/03/2021
PEJINAKIS;AGUA SER CITRUS    1.5 L;40;60;50;268,8;12;7798062542073;997;29/08/2020
PEJINAKIS;AGUA SER SIN GAS MANZANA 1.5 L;36;45;25;0;0;7798062544411;-1;12/12/2018
PEJINAKIS;AGUA SER SIN GAS NARANJA;13,84;18;30;0;0;7798062544404;2;
PEJINAKIS;AGUA SER SIN GAS POMELO;13,84;18;30;0;0;7798062544428;4;
CITRIC;AGUA SIERRA DE LOS PADRES MANZANA  1,5 L.;100;120;20;660;10;7798065730361;96;16/05/2022
COCA COLA;AGUA SIN GAS KIN 500 CC;60,33;70;15,44;800;10,5;7790895000201;905;04/05/2021
PEJINAKIS;AGUA SIN GAS VILLAVICENCIO PREMIUM 500 ML;38,14;50;31,1;263,17;15;3355;985;30/01/2021
SECCO;AGUA SIN GAS VITALISIMA 3L;25;35;40;115;15;3065;9;04/04/2019
CUNNINGTON;AGUA TONICA CUNNINGTON SIN AZUCAR 1,5 L.;200;250;25;1380;15;7790639003123;965;01/03/2023
MARINARO;AGUA TONICA SALVADOR 1.5 L;171;210;22,81;1200;16,96;7795176771313;586;31/01/2023
BADIE;AGUA TONICA SANTA QUINA 1 L.;134,81;170;26,1;930;14,98;737186377120;94;08/04/2021
SECCO;AGUA TONICA SECCO 2,25 L.;255;320;25,49;1800;17,65;7792758322291;9825;02/03/2023
SAN JUAN;AGUA TONICA SIERRA DE LOS PADRES 1,5 L.;216;270;25;1500;15,74;7798065733706;917;21/12/2022
MARCOS DISTRIBUCIONES;AGUA VIDA  1.5 L.;22,5;30;33,33;154,99;14,81;7790036974538;98;27/09/2019
PEJINAKIS;AGUA VILLA DEL SUR 1,650 L.;126;160;26,98;870;15,08;7790315000149;53;10/09/2022
PEJINAKIS;AGUA VILLA DEL SUR 2.25 L;157,5;200;26,98;1100;16,4;7798062547559;163;24/03/2023
PEJINAKIS;AGUA VILLA DEL SUR 2.5 L;64,3;80;24,42;0;0;7798062543469;983;27/09/2019
PEJINAKIS;AGUA VILLA DEL SUR X 600CC;45,61;60;31,55;630;15,11;7798062540109;65405;28/08/2021
PEJINAKIS;AGUA VILLAVICENCIO 1.5 L;211;260;23,22;1470;16,11;7790315000439;9459;17/03/2023
PEJINAKIS;AGUA VILLAVICENCIO LIMON C/GAS;40,75;50;22,7;540;10,43;7798062545159;88;15/01/2020
SECCO;AGUA VITALISSIMA BAJA EN SODIO 3 L;35,12;45;28,13;180;28,13;754697509123;97;26/02/2020
PEJINAKIS;AGUA WE SER X 1.5 L;29,01;38;30;0;0;7798062542035;67;16/08/2017
VASCO;ALARIS TEMPRANILLO;135,32;170;25,63;940;15,77;7790240041873;180;05/08/2020
OTROS;ALCOHOL BIALCOHOL X 500 CC;18,14;25;37;0;0;7790139003807;994;16/07/2020
ALMACEN;ALCOHOL FRAU 250 ML;78;100;28,57;524;12;7795422000082;93;14/09/2022
BARRICA BEBIDAS;ALCOHOL FRAU X 250 CM;10,1;15;48;0;0;7795422000068;10;
BARRICA BEBIDAS;ALCOHOL FRAU X 500CM;16,7;25;49;0;0;7795422000044;3;
ARCOR;ALFABLOCK 40 GR.;54,63;77;40,96;367,14;12;7790580123499;111;21/07/2022
ARCOR;ALFAJOR  MINI TORTA BROWNIE 74G;146,5;200;36,52;0;0;7790040133594;65144;25/02/2023
ARCOR;ALFAJOR  MINITORTA FRUTOS ROJOS 74 GR.;146,5;200;36,52;0;0;7790040112858;953;25/02/2023
TERRABUSI;ALFAJOR  TERRABUSI DULCE DE LECHE 70 G;162;220;35,8;0;-100;77903792;563;25/02/2023
ARCOR;ALFAJOR  TOFI  TRIPLE BLANCO X 73G;146,5;200;36,52;0;0;7790040953703;53030;25/02/2023
ARCOR;01/06/2001;149,34;187;25,22;1003,56;12;7790040133631;99;21/07/2022
ARCOR;ALFAJOR AGUILA MINI TORTA CLASICA 72G;116;150;29,31;0;0;7790040298705;65276;02/09/2022
ARCOR;ALFAJOR AGUILA MINITORTA COCO X 73 G;146,5;200;36,52;0;0;7790040298903;65392;25/02/2023
ARCOR;ALFAJOR BAGLEY BLANCO B & N 50 G;29,04;48;66,67;0;0;7790040996403;925;21/07/2022
ARCOR;ALFAJOR BAGLEY NEGRO B & N 50 G;29,04;48;66,67;0;0;7790040996304;905;21/07/2022
