NombrePromocion;CodigoPromocion;NombreIngrediente;CodigoIngrediente;Costo;Ganancia.;Precio;Cantidad
01/02/2001;2330;VINO SANTA FLORENTINA MALBEC;7790265001081;87;18,2188362;103;1
01/02/2001;2330;VINO SANTA FLORENTINA MALBEC SYRAH;7790265057361;87;18,2188362;103;1
01/02/2001;2331;VINO QUEBRADA  FLECHAS MALBEC - VIDELA;7798162930015;450;20,61403509;543;1
01/02/2001;2331;VINO QUEBRADA  FLECHAS MALBEC - VIDELA;7798162930015;450;20,61403509;543;1
RENA + 2 SPEED CHICOS;3001;CHAMPAGNE RENAISSANCE;7798167890017;263,33;21,52052558;320;1
RENA + 2 SPEED CHICOS;3001;SPEED LATA CHICA;7798119220015;80,2;24,6882793;100;2
SMIRNOFF + CITRIC 1.5 combo smirnoff;3002;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,93620415;910;1
SMIRNOFF + CITRIC 1.5 combo smirnoff;3002;CITRIC NARANJA 1.5 L.;7798085681483;300;20;360;1
VODKA VARSOVIA + 3 REACKTOR;3254;VODKA VARSOVIA  RASPBERRY;7798159948368;300;21,875;366;1
QUILMES FARDO OFERTA X24;3243;CERVEZA QUILMES LATA GRANDE 473CC;7792798012923;89,16;10,73825503;99;24
PUNT E MES 2 X160 OFERTA;3004;VERMOUTH PUNT E'MES X750CC;7790290007195;177;7900;14160;2
CERVEZA QUILMES  COMBO 1 L.X 2;3005;CERVEZA QUILMES CRISTAL  X 1 L;7792798007387;243,2;15,13157895;280;2
01/02/2001;3006;VINO VIÑA DE BALBO;7791843008294;200;22,72950417;245;2
0;3072;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;1
GANCIA 950cc CON SPRITE 1.5 PROMO COMBO;3007;APERITIVO GANCIA X950CC;7790950000160;345;21,73913043;420;1
GANCIA 950cc CON SPRITE 1.5 PROMO COMBO;3007;SPRITE 1.5 LITROS PLASTICO;7790895000447;184,37;8,477518034;200;1
